plot,species,dbh_cm,count,browsed,stripped,broken
108,sugar maple,30.4,1,NA,0,0
108,white pine,NA,4,0,0,0
108,black birch,NA,2,0,0,0
113,white pine,NA,2,0,0,0
113,nannyberry,NA,1,0,0,0
113,bigtooth aspen,17.9,1,NA,0,0
113,bigtooth aspen,18.7,1,NA,0,0
113,bigtooth aspen,26.9,1,NA,0,0
113,black cherry,24.1,1,NA,0,0
113,red maple,5.2,1,0,0,0
113,red maple,9.6,1,NA,0,0
113,red maple ,12.2,1,0,0,0
113,red oak,22.6,1,NA,0,0
113,red oak,23.9,1,NA,0,0
113,red oak,29.1,1,NA,0,0
113,red oak ,24.8,1,NA,0,0
113,red pine,20.8,1,NA,0,0
113,white oak,18.7,1,0,0,0
113,white pine,3.1,1,0,0,0
113,white pine,21.4,1,NA,0,0
113,white pine,27,1,NA,0,0
113,white pine,47.5,1,NA,0,0
113,white pine,50.9,1,NA,0,0
113,white pine,59.4,1,NA,0,0
115,white oak,NA,1,0,0,0
115,black birch,NA,3,1,0,0
115,european buckthorn,NA,1,0,0,0
115,red oak,NA,2,1,0,0
115,white oak,NA,1,1,0,0
115,black cherry,NA,3,1,0,0
115,white pine,NA,2,0,0,0
115,white pine,NA,1,1,0,0
115,red maple,NA,1,1,0,0
115,hop hornbeam,NA,5,1,0,0
115,black birch,NA,1,0,0,0
115,winterberry,NA,1,0,0,0
115,american hazelnut,NA,2,1,0,0
115,hawthorne,NA,1,NA,0,0
115,alternate dogwood,NA,1,1,0,0
115,musclewood,NA,1,1,0,0
115,musclewood,NA,1,0,0,0
115,american hazelnut,NA,1,0,0,0
115,black birch,2.7,1,1,0,0
115,black birch,3.6,1,0,0,0
115,black birch,6,1,0,0,0
115,black cherry,39.4,1,NA,0,0
115,hop hornbeam,2.6,1,0,0,0
115,hop hornbeam,9.4,1,1,0,0
115,hop hornbeam,15.8,1,NA,0,0
115,musclewood,2.7,1,1,0,0
115,musclewood,3.5,1,1,0,0
115,musclewood,5,1,0,0,0
115,musclewood,6.2,1,0,0,0
115,musclewood,6.9,1,0,0,0
115,red maple,2.8,1,1,0,0
115,red maple,3.1,1,0,0,0
115,red maple,3.7,1,0,0,0
115,red maple,3.8,1,1,0,0
115,red maple,3.9,1,1,0,0
115,red maple,4.1,1,0,0,0
115,red maple,4.7,1,1,0,0
115,red maple,4.8,1,1,0,0
115,red maple,4.9,1,0,0,0
115,red maple,4.9,1,1,0,0
115,red maple,5.1,1,1,0,0
115,red maple,5.7,1,0,0,0
115,red maple,6.4,1,NA,0,0
115,red maple,9.2,1,NA,0,0
115,red maple,39.4,1,NA,0,0
115,white ash,4.8,1,0,0,0
115,white oak,28.6,1,NA,0,0
115,white pine,59.9,1,NA,0,0
119,white oak,NA,2,1,0,0
119,red maple,NA,4,1,0,0
119,white pine,NA,1,0,0,0
119,black cherry,16.5,1,NA,0,0
119,red maple,3.1,1,1,0,1
119,red maple,3.5,1,0,0,0
119,red maple,11,1,NA,1,0
119,red oak,10.7,1,NA,0,0
119,white pine,12.5,1,NA,0,0
119,white pine,15.7,1,NA,0,0
119,white pine,17.2,1,NA,0,0
119,white pine,19.2,1,NA,0,0
119,white pine,20.2,1,NA,0,0
119,white pine,20.5,1,NA,0,0
119,white pine,22.3,1,NA,0,0
119,white pine,23.5,1,NA,0,0
119,white pine,27.5,1,NA,0,0
119,white pine,28.7,1,NA,0,0
119,white pine,28.8,1,NA,0,0
119,white pine,32.1,1,NA,0,0
119,white pine,35.6,1,NA,0,0
119,white pine,36.6,1,NA,0,0
119,white pine,42.2,1,NA,0,0
119,white pine,48.8,1,NA,0,0
119,white pine,76,1,NA,0,0
120,black oak,NA,2,0,0,0
120,white oak,NA,3,0,0,0
120,red maple,NA,2,0,0,0
120,black cherry,16.7,1,NA,0,0
120,black cherry,27.6,1,NA,0,0
120,black oak,2.6,1,0,0,0
120,black oak,2.7,1,0,0,0
120,black oak,3.4,1,0,0,0
120,black oak,7.5,1,NA,0,0
120,norway spruce,10.6,1,NA,0,0
120,norway spruce,11.1,1,NA,0,0
120,norway spruce,13.5,1,NA,0,0
120,norway spruce,14.9,1,NA,0,0
120,norway spruce,17.8,1,NA,0,0
120,norway spruce,18.1,1,NA,0,0
120,norway spruce,18.6,1,NA,0,0
120,norway spruce,21.4,1,NA,0,0
120,norway spruce,22.3,1,NA,0,0
120,norway spruce,30.1,1,NA,0,0
120,norway spruce,34,1,NA,0,0
120,red maple,2.5,1,0,0,0
120,red maple,2.9,1,0,0,0
120,red maple,3,1,0,0,0
120,red maple,3.3,1,0,0,0
120,red maple,3.5,1,0,0,0
120,red maple,3.6,1,0,0,0
120,red maple,3.6,1,1,0,0
120,red maple,3.7,1,1,0,0
120,red maple,3.9,1,0,0,0
120,red maple,4.8,1,0,0,0
120,white oak,3.1,1,0,0,0
120,white pine,30.8,1,NA,0,0
120,white pine,38.4,1,NA,0,0
120,white pine ,45.9,1,NA,0,0
125,black birch,NA,1,0,0,0
125,black birch,8.2,1,0,0,0
125,black birch,8.4,1,0,0,0
125,black birch,12.5,1,0,0,0
125,paper birch,8.9,1,NA,0,0
125,red maple,3.9,1,0,0,0
125,red maple,4.2,1,0,0,0
125,red maple,4.4,1,0,0,0
125,red maple,7.4,1,0,0,0
125,red maple,7.4,1,NA,0,0
125,red maple,9.8,1,NA,0,0
125,red maple,11.1,1,NA,0,0
125,red maple,14.4,1,NA,0,0
125,red oak,25.5,1,NA,0,0
125,red oak,30.2,1,NA,0,0
125,white pine,56.1,1,NA,0,0
125,white pine,71,1,NA,0,0
130,mountain laurel,NA,1,0,0,0
130,hemlock,2.9,1,0,0,0
130,hemlock,8.4,1,0,0,0
130,hemlock,9.9,1,NA,0,0
130,hemlock,10.3,1,NA,0,0
130,hemlock,13.8,1,NA,0,0
130,Hemlock,20.9,1,NA,0,0
130,hemlock,40.3,1,NA,0,0
130,red maple,29.1,1,NA,0,0
130,red oak,29.5,1,NA,0,0
130,red oak,31.3,1,NA,0,0
130,red oak,32.3,1,NA,0,0
130,yellow birch,37,1,NA,0,0
130,yellow birch,41.5,1,NA,0,0
133,black birch,9.3,1,NA,0,0
133,black birch,9.6,1,NA,0,0
133,black birch,13.7,1,NA,0,0
133,black birch,14.3,1,NA,0,0
133,black birch,15.1,1,NA,0,0
133,black birch,15.2,1,NA,0,0
133,black birch,20.6,1,NA,0,0
133,black birch,20.9,1,NA,0,0
133,chestnut,7.3,1,1,1,0
133,high bush blueberry,NA,1,1,0,0
133,paper birch,14.6,1,NA,0,0
133,red maple,3.8,1,0,0,0
133,red maple,14.2,1,NA,1,0
133,red maple,15.4,1,NA,1,0
133,red maple,16.7,1,NA,1,0
133,red maple,23.5,1,NA,1,0
133,red maple,32.4,1,NA,0,0
133,yellow birch,1.2,1,1,0,0
133,yellow birch,3.8,1,1,0,0
133,yellow birch,4.1,1,1,0,0
