"","plot","browse_index","lat","elev_m","dist_h2o_m","hilltop","swamp","wetland_forest","tall_shrubs","dist_conifer_m","hemlock_ba","sugar_maple_ba","red_maple_ba","spruce_fir_ba","oak_ba","white_pine_ba","harvest_intensity_m2.ha","watershed","deer_density","harvest","dist_dev_m"
"131",489,0,4705689,198,120,FALSE,FALSE,FALSE,1,56,0,50,0,0,0,1,0,"Quabbin",1.9,FALSE,1000
"132",490,0,4704337,268,196,FALSE,FALSE,FALSE,0,137,0,99,0,0,0,0.6,0,"Quabbin",1.9,FALSE,240
"133",491,0,4703162,268,115,FALSE,FALSE,FALSE,0,240,0,100,0,0,0,0,60.4,"Quabbin",1.2,TRUE,711
"134",492,23.55371901,4699754,291,202,FALSE,FALSE,FALSE,0,435,0,45,8,0,0,0,0,"Quabbin",1.2,FALSE,1000
"135",493,60.95041322,4700042,300,233,FALSE,FALSE,FALSE,0,79,0,98,0,0,0,1,0,"Quabbin",1.2,FALSE,1000
"136",494,6.508264463,4691367,222,5,FALSE,FALSE,FALSE,0,92,0.2,42,0,0,0,5,0,"Quabbin",3,FALSE,1000
"137",499,60.95041322,4708175.213,285,681,FALSE,FALSE,FALSE,0,600,0,98,0,0,0,0,0,"Quabbin",NA,FALSE,243
"138",507,30.06198347,4708327,300,324,FALSE,FALSE,FALSE,8,22,0,0,6,0,0,87,0,"Quabbin",NA,FALSE,1000
"139",509,40.70247934,4685472,137,63,FALSE,FALSE,FALSE,0,141,0,0,0.1,0,19,80,0,"Quabbin",NA,FALSE,572
"140",511,31.9214876,4709789.038,330,187,FALSE,FALSE,FALSE,0,298,0,0,63,0,32,5,277.8,"Ware River",NA,TRUE,419
"141",513,39.04958678,4700470,171,51,FALSE,FALSE,FALSE,34,28,0,1,17,0,12,23,94,"Quabbin",4.8,TRUE,1000
"142",519,21.79752066,4706073,266,317,FALSE,FALSE,FALSE,7,181,6,0.5,18,0,15,46,0,"Quabbin",NA,FALSE,174
"143",520,4.23553719,4708932,248,114,FALSE,FALSE,FALSE,9,231,0,0.8,3,0,6,64,0,"Quabbin",NA,FALSE,271
"144",521,0,4703600,189,127,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,85,298,"Quabbin",NA,TRUE,114
"145",522,39.15289256,4699351,302,202,FALSE,FALSE,FALSE,2,197,0,0,8,0,84,3,67.7,"Quabbin",3,TRUE,1000
"146",525,66.83884298,4695114,274,77,FALSE,FALSE,FALSE,2,82,0,0,7,0,0,11,NA,"Quabbin",1.2,TRUE,1000
"147",526,9.917355372,4695713,353,451,FALSE,FALSE,FALSE,12,276,0,0,7,0,48,4,0,"Quabbin",3,FALSE,97
"148",533,67.56198347,4693594,246,121,FALSE,FALSE,FALSE,0,1078,0,0,34,0,24,21,89.9,"Quabbin",4.7,TRUE,925
"149",534,0,4701985,265,131,FALSE,FALSE,FALSE,16,10,10,0,4,0,0,65,0,"Quabbin",NA,FALSE,1000
"150",535,17.25206612,4709802,222,234,FALSE,FALSE,FALSE,5,12,5,0,18,0,0.1,72,0,"Quabbin",NA,FALSE,62
"151",536,79.23553719,4693145,328,49,FALSE,FALSE,FALSE,0,0,0,0,64,0,2,20,181.1,"Quabbin",3,TRUE,795
"152",537,32.02479339,4699555,262,57,FALSE,FALSE,FALSE,8,93,0,0,43,0,9,0,0,"Ware River",NA,FALSE,1000
"153",538,0,4703277,260,130,FALSE,FALSE,FALSE,0,58,2,0,3,0,62,31,NA,"Ware River",NA,TRUE,546
"154",539,35.64049587,4696507,327,380,FALSE,FALSE,FALSE,36,222,0,0,5,0,0.5,3,NA,"Quabbin",3,TRUE,211
"155",540,70.24793388,4694935,314,160,FALSE,FALSE,FALSE,0,0,0,0,12,0,0.6,66,133.6,"Quabbin",3,TRUE,895
"156",541,143.1818182,4694243,333,145,FALSE,FALSE,FALSE,10,0,0,0,22,0,0,9,133.6,"Quabbin",3,TRUE,359
